"","A","S","E","O","R","T"
"1946","adult","F","high","emp","big","car"
"1947","young","M","high","emp","big","car"
"1948","adult","F","uni","emp","big","train"
"1949","young","M","high","emp","big","car"
"1950","adult","F","high","emp","big","other"
"1951","adult","M","high","emp","big","car"
"1952","young","F","high","emp","small","train"
"1953","adult","M","high","self","small","train"
"1954","young","M","uni","emp","big","other"
"1955","young","F","high","emp","big","car"
"1956","old","M","high","emp","big","other"
"1957","young","M","high","emp","big","car"
"1958","adult","M","high","emp","big","car"
"1959","adult","F","high","emp","small","car"
"1960","adult","M","uni","emp","big","other"
"1961","old","M","uni","emp","big","train"
"1962","adult","F","uni","self","small","car"
"1963","young","F","uni","emp","big","car"
"1964","old","F","high","emp","big","car"
"1965","adult","F","high","emp","big","other"
"1966","adult","F","high","emp","big","train"
"1967","old","F","high","emp","small","car"
"1968","adult","M","high","emp","small","car"
"1969","adult","M","high","emp","big","car"
"1970","adult","F","uni","emp","small","car"
"1971","adult","F","high","emp","big","car"
"1972","young","M","high","emp","big","other"
"1973","young","F","high","emp","big","train"
"1974","young","M","high","emp","big","car"
"1975","adult","M","high","emp","small","car"
"1976","young","M","high","emp","big","car"
"1977","old","M","high","emp","big","car"
"1978","adult","F","uni","emp","small","train"
"1979","adult","M","high","emp","big","car"
"1980","adult","M","high","emp","big","car"
"1981","old","F","high","emp","big","car"
"1982","old","M","high","emp","small","car"
"1983","adult","M","uni","emp","big","car"
"1984","adult","M","uni","emp","big","train"
"1985","young","M","high","self","big","car"
"1986","adult","M","uni","emp","small","car"
"1987","young","M","high","emp","big","car"
"1988","old","F","high","emp","big","car"
"1989","adult","M","high","emp","big","train"
"1990","young","F","uni","emp","big","train"
"1991","adult","F","high","emp","small","train"
"1992","adult","M","high","emp","big","car"
"1993","young","F","high","emp","small","other"
"1994","adult","F","high","emp","big","train"
"1995","young","M","high","emp","big","train"
"1996","young","F","high","emp","big","car"
"1997","adult","M","high","emp","big","train"
"1998","adult","F","high","emp","big","car"
"1999","young","M","high","emp","big","other"
"2000","adult","M","high","emp","big","car"
"2001","old","F","high","emp","big","car"
"2002","adult","F","high","emp","big","train"
"2003","young","M","high","emp","big","train"
"2004","adult","M","high","emp","big","other"
"2005","adult","M","high","emp","big","car"
"2006","young","M","high","emp","big","other"
"2007","adult","F","high","emp","big","car"
"2008","young","M","uni","emp","big","car"
"2009","young","M","high","emp","big","car"
"2010","old","M","high","emp","big","other"
"2011","adult","M","uni","emp","big","car"
"2012","young","F","high","emp","big","other"
"2013","young","M","high","emp","big","other"
"2014","young","F","high","emp","big","train"
"2015","old","M","high","emp","big","car"
"2016","adult","M","high","emp","big","train"
"2017","adult","M","high","emp","small","train"
"2018","adult","F","high","emp","big","train"
"2019","young","M","high","emp","big","car"
"2020","adult","F","high","emp","big","train"
"2021","young","M","high","emp","small","other"
"2022","adult","M","high","emp","big","train"
"2023","young","F","high","emp","big","other"
"2024","old","M","high","emp","big","car"
"2025","adult","F","high","emp","big","car"
"2026","adult","M","high","emp","big","train"
"2027","adult","M","high","emp","big","car"
"2028","young","F","high","self","small","train"
"2029","adult","M","high","emp","big","car"
"2030","adult","F","high","emp","small","train"
"2031","adult","F","uni","emp","big","car"
"2032","adult","M","high","emp","small","car"
"2033","old","M","high","emp","big","car"
"2034","adult","F","uni","emp","big","train"
"2035","adult","M","high","emp","small","car"
"2036","adult","M","high","emp","big","car"
"2037","young","F","high","emp","big","car"
"2038","adult","M","uni","emp","big","car"
"2039","adult","M","uni","emp","big","other"
"2040","young","F","uni","emp","big","other"
"2041","young","M","high","emp","big","car"
"2042","adult","F","high","emp","big","car"
"2043","young","M","high","self","big","car"
"2044","adult","F","high","emp","small","train"
"2045","adult","F","high","emp","small","train"
"2046","young","M","high","emp","big","car"
"2047","young","M","uni","emp","big","car"
"2048","adult","M","high","emp","big","car"
"2049","old","M","high","emp","big","car"
"2050","adult","M","high","emp","big","car"
"2051","young","F","high","emp","big","car"
"2052","old","F","high","emp","big","train"
"2053","young","M","high","emp","small","car"
"2054","old","M","high","emp","small","car"
"2055","adult","M","uni","emp","big","train"
"2056","young","F","high","emp","small","car"
"2057","adult","F","high","emp","big","car"
"2058","young","M","high","emp","big","train"
"2059","adult","F","uni","self","big","car"
"2060","adult","M","high","emp","small","car"
"2061","adult","M","uni","emp","big","car"
"2062","old","M","high","emp","big","other"
"2063","adult","M","high","emp","big","car"
"2064","adult","M","uni","emp","big","car"
"2065","adult","M","uni","emp","small","train"
"2066","adult","M","high","emp","big","car"
"2067","young","F","high","emp","big","car"
"2068","adult","F","uni","emp","big","car"
"2069","adult","F","uni","emp","big","car"
"2070","adult","M","uni","emp","big","car"
"2071","old","F","high","emp","big","car"
"2072","adult","M","high","emp","small","train"
"2073","adult","F","high","emp","small","train"
"2074","adult","F","high","emp","big","car"
"2075","old","F","high","emp","big","car"
"2076","old","F","high","emp","big","car"
"2077","adult","F","uni","emp","small","car"
"2078","adult","F","uni","self","small","car"
"2079","adult","F","high","emp","small","car"
"2080","young","M","high","emp","big","car"
"2081","old","M","high","emp","small","car"
"2082","young","F","high","emp","small","train"
"2083","adult","M","high","emp","big","car"
"2084","adult","M","uni","emp","big","other"
"2085","adult","M","uni","emp","big","car"
"2086","adult","F","high","emp","big","car"
"2087","young","M","high","emp","big","train"
"2088","young","F","uni","emp","big","car"
"2089","adult","M","uni","emp","big","car"
"2090","old","F","high","emp","big","other"
"2091","young","F","high","emp","small","train"
"2092","young","M","high","emp","small","car"
"2093","young","F","high","emp","big","car"
"2094","young","F","uni","emp","small","other"
"2095","young","M","high","emp","small","car"
"2096","adult","F","uni","self","big","train"
"2097","old","M","high","emp","big","car"
"2098","adult","M","uni","emp","big","car"
"2099","young","F","uni","emp","big","train"
"2100","old","M","high","emp","big","car"
"2101","adult","M","high","emp","big","train"
"2102","adult","F","high","emp","big","train"
"2103","young","F","high","emp","big","train"
"2104","adult","F","high","emp","big","car"
"2105","young","M","high","emp","big","other"
"2106","young","M","high","emp","big","train"
"2107","old","M","high","emp","big","car"
"2108","adult","F","uni","emp","small","car"
"2109","young","M","high","self","small","car"
"2110","adult","F","high","emp","big","train"
"2111","adult","M","high","emp","big","other"
"2112","adult","M","uni","self","small","car"
"2113","adult","M","uni","emp","big","car"
"2114","old","M","high","emp","small","car"
"2115","adult","M","high","emp","big","car"
"2116","adult","M","high","emp","big","car"
"2117","adult","M","high","self","big","train"
"2118","old","M","high","emp","big","other"
"2119","adult","M","high","emp","big","other"
"2120","young","M","high","emp","big","car"
"2121","young","M","high","emp","big","car"
"2122","young","M","high","emp","small","car"
"2123","old","M","high","emp","big","car"
"2124","adult","M","uni","emp","big","car"
"2125","adult","M","high","emp","big","other"
"2126","adult","F","uni","emp","big","car"
"2127","adult","F","high","self","big","car"
"2128","adult","M","high","emp","big","car"
"2129","adult","F","uni","emp","small","train"
"2130","young","F","high","emp","big","car"
"2131","young","F","high","emp","big","car"
"2132","adult","F","high","emp","big","car"
"2133","adult","F","high","emp","big","car"
"2134","old","F","high","emp","small","car"
"2135","adult","M","high","emp","big","train"
"2136","old","M","high","emp","big","car"
"2137","adult","F","high","self","big","car"
"2138","adult","F","high","emp","small","car"
"2139","old","M","high","emp","small","car"
"2140","adult","M","high","emp","small","car"
"2141","young","F","high","emp","small","car"
"2142","adult","M","high","emp","big","car"
"2143","adult","F","uni","emp","big","car"
"2144","young","M","uni","emp","big","car"
"2145","adult","F","high","emp","small","other"
"2146","young","M","uni","emp","big","other"
"2147","adult","M","high","emp","big","other"
"2148","young","M","uni","emp","big","car"
"2149","young","M","high","emp","big","train"
"2150","old","M","high","emp","big","car"
"2151","adult","M","uni","emp","big","train"
"2152","adult","M","high","self","big","train"
"2153","adult","M","uni","emp","big","car"
"2154","adult","M","uni","emp","big","car"
"2155","young","M","high","emp","small","train"
"2156","young","F","high","emp","big","car"
"2157","adult","F","high","emp","big","car"
"2158","young","F","high","emp","big","other"
"2159","old","M","high","emp","big","train"
"2160","young","M","high","emp","big","other"
"2161","old","F","high","emp","big","train"
"2162","old","F","high","emp","small","car"
"2163","adult","F","uni","emp","big","other"
"2164","adult","M","high","emp","small","car"
"2165","adult","M","high","emp","big","other"
"2166","adult","F","uni","emp","big","car"
"2167","adult","M","high","emp","big","car"
"2168","adult","M","uni","emp","big","train"
"2169","old","F","high","emp","big","other"
"2170","adult","F","uni","emp","big","train"
"2171","old","F","high","emp","big","car"
"2172","young","F","high","emp","small","train"
"2173","young","M","high","emp","small","train"
"2174","young","M","high","self","big","car"
"2175","old","M","uni","self","big","car"
"2176","young","M","uni","emp","big","train"
"2177","young","M","high","emp","big","train"
"2178","young","F","high","emp","big","other"
"2179","old","M","high","emp","small","car"
"2180","young","M","high","emp","big","other"
"2181","old","M","high","emp","big","car"
"2182","adult","F","uni","emp","small","train"
"2183","young","F","high","emp","big","car"
"2184","old","F","high","emp","small","car"
"2185","adult","F","high","emp","big","car"
"2186","old","F","uni","emp","big","car"
"2187","young","F","uni","emp","big","other"
"2188","adult","M","high","emp","big","train"
"2189","adult","F","uni","emp","big","car"
"2190","adult","F","high","emp","big","train"
"2191","adult","M","uni","emp","big","car"
"2192","adult","M","uni","emp","big","car"
"2193","adult","F","high","emp","big","train"
"2194","young","F","high","emp","big","train"
"2195","old","F","high","emp","big","car"
"2196","old","F","high","emp","small","other"
"2197","adult","M","high","emp","small","train"
"2198","adult","F","high","emp","small","car"
"2199","adult","M","uni","emp","big","train"
"2200","old","F","high","self","small","car"
"2201","old","M","high","self","big","train"
"2202","young","M","high","emp","big","other"
"2203","adult","F","high","emp","big","train"
